Plot;Altitude;pH;L;TeneurEau;Pente;SMOD1997;Aspect
39;2669.6001;5.466666667;22.46666667;869;22.35863;2;139.44113
66;2658.33008;7.766666667;35.13333333;657;23.51178;2;163.62952
69;2654.8999;5.833333333;19.63333333;533;26.40189;3;162.12195
93;2653.1001;6.7;11.96666667;689;17.09617;2;134.34071
96;2646.12988;6.1;30.96666667;790;14.03493;4;196.24901
99;2643.80005;5.066666667;31.33333333;671;18.1323;5;169.88809
120;2651.61011;8;26.2;587;10.23911;2;75.55994
123;2645;5.2;21.06666667;906;13.3475;4;163.48569
126;2641.3501;5.2;23.7;740;15.00311;2;126.64807
129;2634.62988;4.766666667;18.86666667;790;24.73384;5;152.88496
150;2650.31006;6.166666667;38.63333333;808;15.91169;5;91.00594
153;2641.13989;5.533333333;29.6;822;17.39485;4;118.61224
156;2635.93994;4.8;21.86666667;863;7.5426;2;88.91708
159;2632.11011;3.95;43.33333333;768;2.42953;1;176.70129
183;2640.52002;4.873333333;22.9;783;12.46561;6;37.6419
186;2634.54004;3.37;27.3;760;8.05486;3;133.56703
189;2630.6499;3.42;19.56666667;910;12.41822;5;63.72615
315;2654.72998;7.033333333;18.73333333;960;33.85581;7;349.69608
318;2645.95996;6.333333333;19;912;30.41263;6;69.56389
612;2648.09009;5.033333333;25.76666667;781;20.46242;7;147.58632
615;2649.38989;5.6;26.33333333;797;15.00753;7;176.2536
618;2648.93994;6.566666667;23.06666667;800;9.67872;4;169.00372
912;2638.62988;5.1;35.6;713;12.24589;3;118.9075
915;2639.15991;4.566666667;12.5;717;16.14667;;196.54768
918;2633.33008;4.666666667;22.4;716;22.43669;2;167.04221
1212;2634.12012;6.333333333;14.33333333;999;13.75758;4;242.64925
1218;2627.81006;4.9;27.2;799;18.36267;6;83.94136
1512;2634.75;5.74;17.66666667;913;13.50464;7;268.80591
1515;2636.31006;5.506666667;17.3;1051;10.90114;3;2.234
1812;2625.21997;7.233333333;19.43333333;811;21.01299;2;321.3345
2112;2627.03003;3.793333333;21.73333333;902;7.13755;5;272.29062
10.51.5;2650.79004;7.766666667;21.96666667;738;13.4442;8;164.22139
10.510.5;2640.04004;6.166666667;19.66666667;945;13.59942;7;172.88394
10.513.5;2635.42993;5.633333333;21.23333333;767;3.54249;4;194.03624
10.516.5;2633.79004;6.433333333;19.43333333;846;11.54107;2;120.95789
10.54.5;2646.21997;6.133333333;24.6;847;15.98561;3;122.16972
10.57.5;2639.5;6;13.3;875;15.86466;2;156.13246
13.51.5;2646.86011;6.233333333;28.2;833;15.1008;3;103.37929
13.510.5;2632.8999;5.633333333;18.33333333;831;7.66158;3;201.75797
13.513.5;2635.1499;6.466666667;26.1;777;8.51889;4;25.7193
13.516.5;2632.56006;6.566666667;10.73333333;806;10.7613;5;63.42672
13.54.5;2639.42993;5.833333333;23.5;798;14.12844;7;145.53154
13.57.5;2635.38989;5.6;21.06666667;830;9.98497;2;124.57706
16.510.5;2631.90991;6.4;23.93333333;827;2.63149;3;337.76059
16.54.5;2637.6499;5.9;16.7;NA;9.19053;5;103.37047
16.57.5;2632.66992;5.766666667;16.51333333;840;7.14361;4;113.50636
4.510.5;2658.79004;6.066666667;23.73333333;813;28.1081;3;141.84019
4.516.5;2650.71997;5.8;31.8;811;12.19243;2;60.1688
4.57.5;2664.34009;7.6;33.63333333;759;18.70264;2;232.20656
7.513.5;2640.40991;5.7;26.46666667;895;15.64618;1;181.02393
7.516.5;2641.31006;5.566666667;24.46666667;917;23.13738;7;173.94902
7.54.5;2654.44995;6.933333333;26.63333333;687;21.19331;2;144.98656
7.57.5;2648.57007;6.6;19.36666667;887;26.52249;7;155.7451
