Plot;Altitude;pH;TeneurEau;Pente;SMOD1997;Aspect
39;2669.6001;5.466666667;869;22.35863;2;139.44113
4.57.5;2664.34009;7.6;759;18.70264;2;232.20656
4.510.5;2658.79004;6.066666667;813;28.1081;3;141.84019
66;2658.33008;7.766666667;657;23.51178;2;163.62952
69;2654.8999;5.833333333;533;26.40189;3;162.12195
315;2654.72998;7.033333333;960;33.85581;7;349.69608
7.54.5;2654.44995;6.933333333;687;21.19331;2;144.98656
93;2653.1001;6.7;689;17.09617;2;134.34071
120;2651.61011;8;587;10.23911;2;75.55994
10.51.5;2650.79004;7.766666667;738;13.4442;8;164.22139
4.516.5;2650.71997;5.8;811;12.19243;2;60.1688
150;2650.31006;6.166666667;808;15.91169;5;91.00594
615;2649.38989;5.6;797;15.00753;7;176.2536
618;2648.93994;6.566666667;800;9.67872;4;169.00372
7.57.5;2648.57007;6.6;887;26.52249;7;155.7451
612;2648.09009;5.033333333;781;20.46242;7;147.58632
13.51.5;2646.86011;6.233333333;833;15.1008;3;103.37929
10.54.5;2646.21997;6.133333333;847;15.98561;3;122.16972
96;2646.12988;6.1;790;14.03493;4;196.24901
318;2645.95996;6.333333333;912;30.41263;6;69.56389
99;2643.80005;5.066666667;671;18.1323;5;169.88809
126;2641.3501;5.2;740;15.00311;2;126.64807
7.516.5;2641.31006;5.566666667;917;23.13738;7;173.94902
153;2641.13989;5.533333333;822;17.39485;4;118.61224
183;2640.52002;4.873333333;783;12.46561;6;37.6419
7.513.5;2640.40991;5.7;895;15.64618;1;181.02393
10.510.5;2640.04004;6.166666667;945;13.59942;7;172.88394
10.57.5;2639.5;6;875;15.86466;2;156.13246
13.54.5;2639.42993;5.833333333;798;14.12844;7;145.53154
912;2638.62988;5.1;713;12.24589;3;118.9075
16.54.5;2637.6499;5.9;NA;9.19053;5;103.37047
1515;2636.31006;5.506666667;1051;10.90114;3;2.234
156;2635.93994;4.8;863;7.5426;2;88.91708
10.513.5;2635.42993;5.633333333;767;3.54249;4;194.03624
13.57.5;2635.38989;5.6;830;9.98497;2;124.57706
13.513.5;2635.1499;6.466666667;777;8.51889;4;25.7193
1512;2634.75;5.74;913;13.50464;7;268.80591
129;2634.62988;4.766666667;790;24.73384;5;152.88496
186;2634.54004;3.37;760;8.05486;3;133.56703
1212;2634.12012;6.333333333;999;13.75758;4;242.64925
10.516.5;2633.79004;6.433333333;846;11.54107;2;120.95789
918;2633.33008;4.666666667;716;22.43669;2;167.04221
13.510.5;2632.8999;5.633333333;831;7.66158;3;201.75797
16.57.5;2632.66992;5.766666667;840;7.14361;4;113.50636
13.516.5;2632.56006;6.566666667;806;10.7613;5;63.42672
159;2632.11011;3.95;768;2.42953;1;176.70129
16.510.5;2631.90991;6.4;827;2.63149;3;337.76059
189;2630.6499;3.42;910;12.41822;5;63.72615
1218;2627.81006;4.9;799;18.36267;6;83.94136
2112;2627.03003;3.793333333;902;7.13755;5;272.29062
1812;2625.21997;7.233333333;811;21.01299;2;321.3345
123;2645;5.2;906;13.3475;4;163.48569
