Plot;Aspect;Altitude;pH;Teneur_eau;Pente;SMOD
39;139.44113;2669.6001;5.466666667;869;22.35863;2
66;163.62952;2658.33008;7.766666667;657;23.51178;3
69;162.12195;2654.8999;5.833333333;533;26.40189;3
93;134.34071;2653.1001;6.7;689;17.09617;3
96;152.88496;2646.12988;6.1;790;24.73384;4
99;169.88809;2643.80005;5.066666667;671;18.1323;4
120;75.55994;2651.61011;8;587;10.23911;2
123;163.48569;2645;5.2;906;13.3475;5
126;126.64807;2641.3501;5.2;740;15.00311;4
129;196.24901;2634.62988;4.766666667;790;14.03493;6
150;91.00594;2650.31006;6.166666667;808;15.91169;4
153;118.61224;2641.13989;5.533333333;822;17.39485;5
156;88.91708;2635.93994;4.8;863;7.5426;7
159;176.70129;2632.11011;3.95;768;2.42953;8
183;37.6419;2640.52002;4.873333333;783;12.46561;0
186;133.56703;2634.54004;3.37;760;8.05486;6
189;63.72615;2630.6499;3.42;910;12.41822;6
315;349.69608;2654.72998;7.033333333;960;33.85581;2
318;69.56389;2645.95996;6.333333333;912;30.41263;0
612;147.58632;2648.09009;5.033333333;781;20.46242;4
615;176.2536;2649.38989;5.6;797;15.00753;2
618;169.00372;2648.93994;6.566666667;800;9.67872;2
912;118.9075;2638.62988;5.1;713;12.24589;7
915;196.54768;2639.15991;4.566666667;717;16.14667;4
918;167.04221;2633.33008;4.666666667;716;22.43669;3
1212;242.64925;2634.12012;6.333333333;999;13.75758;9
1218;83.94136;2627.81006;4.9;799;18.36267;7
1512;268.80591;2634.75;5.74;913;13.50464;4
1515;2.234;2636.31006;5.506666667;1051;10.90114;3
1812;321.3345;2625.21997;7.233333333;811;21.01299;3
2112;272.29062;2627.03003;3.793333333;902;7.13755;5
10.51.5;164.22139;2650.79004;7.766666667;738;13.4442;3
10.510.5;172.88394;2640.04004;6.166666667;945;13.59942;3
10.513.5;194.03624;2635.42993;5.633333333;767;3.54249;7
10.516.5;120.95789;2633.79004;6.433333333;846;11.54107;5
10.54.5;122.16972;2646.21997;6.133333333;847;15.98561;4
10.57.5;156.13246;2639.5;6;875;15.86466;5
13.51.5;103.37929;2646.86011;6.233333333;833;15.1008;5
13.510.5;201.75797;2632.8999;5.633333333;831;7.66158;5
13.513.5;25.7193;2635.1499;6.466666667;777;8.51889;4
13.516.5;63.42672;2632.56006;6.566666667;806;10.7613;4
13.54.5;145.53154;2639.42993;5.833333333;798;14.12844;6
13.57.5;124.57706;2635.38989;5.6;830;9.98497;6
16.510.5;337.76059;2631.90991;6.4;827;2.63149;4
16.54.5;103.37047;2637.6499;5.9;NA;9.19053;6
16.57.5;113.50636;2632.66992;5.766666667;840;7.14361;7
4.510.5;141.84019;2658.79004;6.066666667;813;28.1081;3
4.516.5;60.1688;2650.71997;5.8;811;12.19243;3
4.57.5;232.20656;2664.34009;7.6;759;18.70264;2
7.513.5;181.02393;2640.40991;5.7;895;15.64618;5
7.516.5;173.94902;2641.31006;5.566666667;917;23.13738;4
7.54.5;144.98656;2654.44995;6.933333333;687;21.19331;3
7.57.5;155.7451;2648.57007;6.6;887;26.52249;4
