Plot;Alch pent;Alopec alpi;Andro vital;Anten dioi;Care foet;Care myos;Care semp;Fest viol;Geum mont;Gnap supi;Minuart sed;Plan alpi;Poa alpina;Potent aurea;Potent crantzii;Sali herb;Sali serpy;Trif alpina
39;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
129;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
156;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
183;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
189;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
315;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
318;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
612;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
615;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
915;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
918;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1218;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
1512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2112;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
10.51.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.510.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10.513.5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.516.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10.54.5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
10.57.5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
13.51.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.510.5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
13.513.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.516.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
13.54.5;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
13.57.5;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
16.510.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16.54.5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16.57.5;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
4.510.5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
4.516.5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
4.57.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.513.5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7.516.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7.54.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7.57.5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
